"","site_name","date_ymd","DOC_mg.L","A254"
"1","Buoy 0.8 m",2019-05-29,3.783,9.21890492132403
"2","Buoy 0.8 m",2019-06-03,3.975,9.15594291616334
"3","Buoy 0.8 m",2019-06-12,3.733,8.68129113570411
"4","Buoy 0.8 m",2019-06-19,3.841,9.05907376657666
"5","Buoy 0.8 m",2019-07-05,3.894,8.05469983847853
"6","Buoy 0.8 m",2019-07-10,5.531,8.81675104765736
"7","Buoy 0.8 m",2019-07-17,4.713,9.20022757738729
"8","Buoy 0.8 m",2019-07-29,4.822,9.62978641740161
"9","Buoy 0.8 m",2019-08-07,5.497,10.0606883675114
"10","Buoy 0.8 m",2019-08-15,4.788,10.0195957542272
"11","Buoy 0.8 m",2019-08-21,5.146,9.96395717457318
"12","Buoy 0.8 m",2019-08-30,4.998,10.3948475964964
"13","Buoy 0.8 m",2019-09-03,4.935,10.3783503560571
"14","Buoy 0.8 m",2019-09-13,5.017,9.95331179713443
"15","Buoy 0.8 m",2019-09-17,4.878,9.60144472116434
"16","Buoy 0.8 m",2019-09-26,5.08,9.67229186666642
"17","Buoy 0.8 m",2019-10-03,4.803,9.3498421765943
"18","Buoy 2.8 m",2019-05-29,3.772,8.92093294301553
"19","Buoy 2.8 m",2019-06-03,3.889,9.47447093983929
"20","Buoy 2.8 m",2019-06-12,3.833,8.6132570810915
"21","Buoy 2.8 m",2019-06-19,3.725,8.75037313503535
"22","Buoy 2.8 m",2019-07-05,4.441,8.68359283228964
"23","Buoy 2.8 m",2019-07-10,4.218,8.54248562000485
"24","Buoy 2.8 m",2019-07-17,4.476,8.95542622448684
"25","Buoy 2.8 m",2019-07-29,4.575,9.70506027099786
"26","Buoy 2.8 m",2019-08-07,5.569,10.0820374649285
"27","Buoy 2.8 m",2019-08-15,5.076,10.0105653153928
"28","Buoy 2.8 m",2019-08-21,5.481,10.2497175720608
"29","Buoy 2.8 m",2019-08-30,4.98,10.1613720505061
"30","Buoy 2.8 m",2019-09-03,4.884,10.5257151399036
"31","Buoy 2.8 m",2019-09-13,4.721,9.81287448221779
"32","Buoy 2.8 m",2019-09-17,4.942,9.8262885765311
"33","Buoy 2.8 m",2019-09-26,4.645,9.53751043807393
"34","Buoy 2.8 m",2019-10-03,4.628,9.35065649688641
