QU'APPELLE RIVER ABOVE BUFFALO POUND LAKE,,Average Daily ,,Stage
Data Start Time,13/05/2015 12:00:00 AM
Data End Time,12/06/2015 9:50:00 AM
Time Stamp,,,m
13/05/2015 12:00:00 AM,,,
14/05/2015 12:00:00 AM,,,5.126
15/05/2015 12:00:00 AM,,,5.120
16/05/2015 12:00:00 AM,,,5.117
17/05/2015 12:00:00 AM,,,5.114
18/05/2015 12:00:00 AM,,,5.092
19/05/2015 12:00:00 AM,,,5.097
20/05/2015 12:00:00 AM,,,5.087
21/05/2015 12:00:00 AM,,,5.126
22/05/2015 12:00:00 AM,,,5.194
23/05/2015 12:00:00 AM,,,5.200
24/05/2015 12:00:00 AM,,,5.290
25/05/2015 12:00:00 AM,,,5.298
26/05/2015 12:00:00 AM,,,5.288
27/05/2015 12:00:00 AM,,,5.276
28/05/2015 12:00:00 AM,,,5.262
29/05/2015 12:00:00 AM,,,5.262
30/05/2015 12:00:00 AM,,,5.277
31/05/2015 12:00:00 AM,,,5.530
01/06/2015 12:00:00 AM,,,5.554
02/06/2015 12:00:00 AM,,,5.544
03/06/2015 12:00:00 AM,,,5.548
04/06/2015 12:00:00 AM,,,5.533
05/06/2015 12:00:00 AM,,,5.531
06/06/2015 12:00:00 AM,,,5.549
07/06/2015 12:00:00 AM,,,5.544
08/06/2015 12:00:00 AM,,,5.531
09/06/2015 12:00:00 AM,,,5.514
10/06/2015 12:00:00 AM,,,5.524
11/06/2015 12:00:00 AM,,,5.471
12/06/2015 12:00:00 AM,,,
