"","pval","phi","coh","var","sin","cos","timescale"
"1",0.154084591540846,3.04300950024134,0.116820708140419,"DOC_SO4",0.0984235485931547,-0.995144615160194,"2- to 6-month timescales"
"2",0.103289671032897,-0.160127625590759,0.292111601562862,"DOC_TP",-0.159444200781648,0.987206942255321,"2- to 6-month timescales"
"3",0.611938806119388,-1.67984054716018,0.0785333080792647,"DOC_SRP",-0.994060567808272,-0.108828247843547,"2- to 6-month timescales"
"4",9.99900009999e-05,0.50454286841548,0.443514801493461,"DOC_Chla",0.483407319893221,0.875395546638006,"2- to 6-month timescales"
"5",0.631436856314369,0.691061943307011,0.136152351821278,"DOC_NO3",0.637355842692751,0.770569613847713,"2- to 6-month timescales"
"6",0.252474752524748,0.189067052491463,0.179069360801679,"DOC_NH4",0.187942654514338,0.982180003163424,"2- to 6-month timescales"
"7",0.9005099490051,-2.92292332512683,0.0436639271481606,"DOC_QLD",-0.216930831297091,-0.97618697718867,"2- to 6-month timescales"
"8",0.751424857514249,-2.09019111083215,0.124534754715771,"DOC_QLC",-0.868119740515126,-0.496354828855277,"2- to 6-month timescales"
"9",0.404159584041596,1.25844020648008,0.0219589878663057,"DOC_QBP",0.951612172355335,0.307301600101856,"2- to 6-month timescales"
"10",0.0137986201379862,-0.941588340421277,0.465324398076929,"DOC_SO4",-0.808493865507579,0.588504604431106,"6-month to 4-year timescales"
"11",0.0024997500249975,0.622894640308367,0.507500172336021,"DOC_TP",0.583388608405697,0.812193161496983,"6-month to 4-year timescales"
"12",0.0216978302169783,0.783469684755377,0.329483408567365,"DOC_SRP",0.705741826831388,0.708469105791279,"6-month to 4-year timescales"
"13",0.0862913708629137,0.919832202281496,0.34792042093371,"DOC_Chla",0.795499953596225,0.605953648250758,"6-month to 4-year timescales"
"14",0.63023697630237,0.73317657955945,0.119914366682339,"DOC_NO3",0.669233372223693,0.743052281809365,"6-month to 4-year timescales"
"15",0.0121987801219878,0.670616588075986,0.256977618503321,"DOC_NH4",0.62146916405533,0.783438624353159,"6-month to 4-year timescales"
"16",0.0072992700729927,-2.01781849513339,0.380710412324697,"DOC_QLD",-0.901738362231527,-0.43228222966021,"6-month to 4-year timescales"
"17",0.265973402659734,2.00348626524132,0.381023113775473,"DOC_QLC",0.907841105697509,-0.419314353207619,"6-month to 4-year timescales"
"18",0.0364963503649635,-2.36245805986704,0.319265509280134,"DOC_QBP",-0.702663926886014,-0.711521894148821,"6-month to 4-year timescales"
"19",0.0054994500549945,0.00132014180038165,0.744006477769222,"DOC_SO4",0.00132014141693013,0.99999912861294,"4- to 10-year timescales"
"20",0.068993100689931,0.315220452056013,0.628997405067066,"DOC_TP",0.310026068714084,0.950728056132609,"4- to 10-year timescales"
"21",0.688831116888311,1.00237381591738,0.58657568828265,"DOC_SRP",0.842751190972979,0.538303288224794,"4- to 10-year timescales"
"22",0.0998900109989001,-0.214555388184969,0.728477775842421,"DOC_Chla",-0.212913031979999,0.977071154426884,"4- to 10-year timescales"
"23",0.778422157784222,2.6900955833307,0.126550997521617,"DOC_NO3",0.436313078758011,-0.899794919581516,"4- to 10-year timescales"
"24",0.594440555944406,-1.99511057110015,0.265556144792227,"DOC_NH4",-0.911321270043088,-0.411695934843974,"4- to 10-year timescales"
"25",0.133586641335866,-2.24979159491142,0.787219992551125,"DOC_QLD",-0.778204094569559,-0.628011454668761,"4- to 10-year timescales"
"26",0.53984601539846,1.06259501530096,0.595261982856017,"DOC_QLC",0.873621174188976,0.486606662519816,"4- to 10-year timescales"
"27",0.227677232276772,-2.56650367324389,0.762833043938001,"DOC_QBP",-0.54390946015199,-0.839143908490773,"4- to 10-year timescales"
"28",0.0005999400059994,-0.81303307372304,0.332400637800032,"DOC_SO4",-0.72637513919222,0.687298448393042,"2-month to 10-year timescales"
"29",0.0004999500049995,0.389555977883785,0.458190072442559,"DOC_TP",0.379777697580447,0.925077780740892,"2-month to 10-year timescales"
"30",0.166083391660834,0.622320954360933,0.280282022362949,"DOC_SRP",0.582922568626769,0.812527709672458,"2-month to 10-year timescales"
"31",0.0003999600039996,0.499874997906554,0.414796412057408,"DOC_Chla",0.479315835201443,0.87764248422985,"2-month to 10-year timescales"
"32",0.791720827917208,0.807124949403274,0.0852186539489763,"DOC_NO3",0.722301840773636,0.691577942689771,"2-month to 10-year timescales"
"33",0.0402959704029597,0.401109432210838,0.165701999513026,"DOC_NH4",0.390439957178142,0.920628393999843,"2-month to 10-year timescales"
"34",0.0566943305669433,-2.26380850778493,0.36231238167951,"DOC_QLD",-0.769325153851558,-0.638857423570609,"2-month to 10-year timescales"
"35",0.478552144785521,1.78235574747141,0.242710540739013,"DOC_QLC",0.977704648993808,-0.209984807393044,"2-month to 10-year timescales"
"36",0.0412958704129587,-2.46525407245771,0.321686849516912,"DOC_QBP",-0.625941796164838,-0.779869776189548,"2-month to 10-year timescales"
