"","parameter","variable","n","min","max","median","q1","q3","iqr","mad","mean","sd","se","ci"
"1","chla_ug.L","result",360,0,151,16,8.95,27.167,18.217,12.973,22.234,21.142,1.114,2.191
"2","DOC_mg.L","result",360,3.292,12.38,6.3,5.495,7.861,2.366,1.566,6.764,1.837,0.097,0.19
"3","DON_mg.L","result",360,0,2.107,0.695,0.54,0.901,0.361,0.259,0.759,0.319,0.017,0.033
"4","NH3_mg.L","result",360,0,0.448,0.075,0.03,0.13,0.1,0.072,0.097,0.091,0.005,0.009
"5","NO3_mg.L","result",360,0,1.542,0.04,0,0.105,0.105,0.059,0.097,0.183,0.01,0.019
"6","RC_IC_cms","result",360,0,8.256,0.023,0,0.158,0.158,0.034,0.265,0.827,0.044,0.086
"7","SK05JG004_combined_cms","result",360,0.133,18.889,2.591,1.629,4.67,3.041,1.788,3.61,2.808,0.148,0.291
"8","SK05JG006_cms","result",360,0.04,12.423,2.169,1.539,4.073,2.534,1.385,3.2,2.575,0.136,0.267
"9","SO4_mg.L","result",360,56.75,339.8,117.35,95.688,156.425,60.737,41.105,135.702,57.367,3.023,5.946
"10","SRP_ug.L","result",360,0,98.5,10,5.8,18.387,12.588,7.413,14.653,14.274,0.752,1.479
"11","TP_ug.L","result",360,14,232,62.583,48,85.25,37.25,25.266,70.36,33.026,1.741,3.423
